id,dG
pep_0087,-8.262
pep_0288,-8.258
pep_0044,-8.24
pep_0171,-8.235
pep_0276,-8.225
pep_0317,-8.222
pep_0434,-8.221
pep_0416,-8.219
pep_0418,-8.181
pep_0189,-8.181
pep_0284,-8.181
pep_0180,-8.179
pep_0041,-8.178
pep_0055,-8.172
pep_0177,-8.161
pep_0346,-8.159
pep_0173,-8.155
pep_0152,-8.109
pep_0123,-8.097
pep_0256,-8.088
pep_0053,-8.081
pep_0092,-8.051
pep_0270,-8.048
pep_0200,-8.047
pep_0146,-8.046
pep_0083,-8.045
pep_0228,-8.027
pep_0266,-8.014
pep_0344,-7.985
pep_0142,-7.978
pep_0051,-7.936
pep_0356,-7.936
pep_0352,-7.932
pep_0282,-7.93
pep_0134,-7.902
pep_0099,-7.896
pep_0294,-7.891
pep_0147,-7.887
pep_0425,-7.886
pep_0170,-7.884
pep_0377,-7.882
pep_0423,-7.881
pep_0179,-7.865
pep_0400,-7.856
pep_0287,-7.843
pep_0229,-7.838
pep_0235,-7.837
pep_0081,-7.829
pep_0195,-7.804
pep_0137,-7.789
pep_0145,-7.786
pep_0281,-7.78
pep_0285,-7.767
pep_0414,-7.759
pep_0141,-7.758
pep_0021,-7.746
pep_0351,-7.742
pep_0420,-7.72
pep_0424,-7.698
pep_0034,-7.664
pep_0144,-7.663
pep_0427,-7.652
pep_0098,-7.651
pep_0088,-7.645
pep_0135,-7.642
pep_0140,-7.618
pep_0409,-7.611
pep_0308,-7.604
pep_0435,-7.595
pep_0139,-7.594
pep_0375,-7.563
pep_0046,-7.56
pep_0136,-7.546
pep_0230,-7.543
pep_0214,-7.52
pep_0138,-7.504
pep_0143,-7.487
pep_0388,-7.418
pep_0176,-7.407
pep_0007,-7.392
pep_0349,-7.365
pep_0175,-7.36
pep_0345,-7.355
pep_0316,-7.348
pep_0183,-7.337
pep_0348,-7.333
pep_0421,-7.298
pep_0437,-7.298
pep_0384,-7.29
pep_0148,-7.269
pep_0070,-7.257
pep_0185,-7.227
pep_0312,-7.211
pep_0013,-7.198
pep_0428,-7.189
pep_0028,-7.172
pep_0419,-7.171
pep_0426,-7.167
pep_0296,-7.102
pep_0239,-7.086
pep_0295,-7.035
pep_0331,-7.014
pep_0219,-7.011
pep_0218,-6.963
pep_0059,-6.903
pep_0315,-6.886
pep_0422,-6.842
pep_0319,-6.745
pep_0095,-6.571
pep_0008,-6.37
pep_0342,-6.088
pep_0075,-5.928
pep_0246,-5.796
pep_0001,-5.664
pep_0104,-5.244
pep_0385,-5.121
pep_0072,-4.547
pep_0005,-2.834
pep_0004,-2.322
pep_0110,-1.576
pep_0128,1.357
pep_0213,2.669
pep_0216,47.9
pep_0129,52.52
pep_0006,64.91
pep_0084,77.46
pep_0217,78.91
pep_0199,86.81
pep_0082,152.9
pep_0240,186.0
